sezon,kolejka,gospodarz,gosc,wynik
22/23,26,Lechia Gdańsk,Śląsk Wrocław,0:0
22/23,26,Legia Warszawa,Raków Częstochowa,3:1
22/23,26,Piast Gliwice,Górnik Zabrze,1:0
22/23,26,Stal Mielec,Jagiellonia Białystok,1:1
22/23,26,Wisła Płock,Radomiak Radom,1:1
22/23,26,Zagłębie Lubin,Warta Poznań,0:0
22/23,27,Górnik Zabrze,Korona Kielce,1:1
22/23,27,Jagiellonia Białystok,Lechia Gdańsk,1:0
22/23,27,Lech Poznań,Warta Poznań,2:0
22/23,27,Miedź Legnica,Legia Warszawa,2:2
22/23,27,Pogoń Szczecin,Cracovia Kraków,3:2
22/23,27,Radomiak Radom,Raków Częstochowa,0:0
22/23,27,Śląsk Wrocław,Piast Gliwice,0:1
22/23,27,Widzew Łódź,Stal Mielec,0:2
22/23,27,Wisła Płock,Zagłębie Lubin,2:0
22/23,28,Cracovia Kraków,Radomiak Radom,3:0
22/23,28,Korona Kielce,Jagiellonia Białystok,2:1
22/23,28,Lechia Gdańsk,Pogoń Szczecin,0:1
22/23,28,Legia Warszawa,Lech Poznań,2:2
22/23,28,Piast Gliwice,Wisła Płock,1:0
22/23,28,Raków Częstochowa,Widzew Łódź,2:0
22/23,28,Stal Mielec,Miedź Legnica,1:1
22/23,28,Warta Poznań,Śląsk Wrocław,3:1
22/23,28,Zagłębie Lubin,Górnik Zabrze,0:2
22/23,29,Górnik Zabrze,Śląsk Wrocław,2:0
22/23,29,Korona Kielce,Zagłębie Lubin,2:2
22/23,29,Lechia Gdańsk,Cracovia Kraków,1:2
22/23,29,Miedź Legnica,Raków Częstochowa,0:2
22/23,29,Pogoń Szczecin,Stal Mielec,4:2
22/23,29,Radomiak Radom,Lech Poznań,1:1
22/23,29,Warta Poznań,Legia Warszawa,1:0
22/23,29,Widzew Łódź,Piast Gliwice,2:3
22/23,29,Wisła Płock,Jagiellonia Białystok,2:4
22/23,30,Cracovia Kraków,Miedź Legnica,1:1
22/23,30,Jagiellonia Białystok,Warta Poznań,3:1
22/23,30,Lech Poznań,Górnik Zabrze,0:1
22/23,30,Legia Warszawa,Wisła Płock,2:0
22/23,30,Piast Gliwice,Pogoń Szczecin,0:0
22/23,30,Raków Częstochowa,Lechia Gdańsk,4:0
22/23,30,Stal Mielec,Korona Kielce,2:1
22/23,30,Śląsk Wrocław,Radomiak Radom,0:1
22/23,30,Zagłębie Lubin,Widzew Łódź,2:0
22/23,31,Górnik Zabrze,Warta Poznań,2:0
22/23,31,Jagiellonia Białystok,Śląsk Wrocław,1:1
22/23,31,Korona Kielce,Raków Częstochowa,1:0
22/23,31,Lech Poznań,Cracovia Kraków,3:0
22/23,31,Lechia Gdańsk,Zagłębie Lubin,1:3
22/23,31,Miedź Legnica,Widzew Łódź,0:1
22/23,31,Pogoń Szczecin,Legia Warszawa,2:1
22/23,31,Radomiak Radom,Piast Gliwice,0:1
22/23,31,Wisła Płock,Stal Mielec,0:0
22/23,32,Cracovia Kraków,Zagłębie Lubin,0:1
22/23,32,Legia Warszawa,Jagiellonia Białystok,5:1
22/23,32,Piast Gliwice,Korona Kielce,2:1
22/23,32,Pogoń Szczecin,Miedź Legnica,3:2
22/23,32,Raków Częstochowa,Lech Poznań,0:2
22/23,32,Stal Mielec,Lechia Gdańsk,0:0
22/23,32,Śląsk Wrocław,Wisła Płock,3:1
22/23,32,Warta Poznań,Radomiak Radom,1:2
22/23,32,Widzew Łódź,Górnik Zabrze,2:3
22/23,33,Górnik Zabrze,Pogoń Szczecin,2:1
22/23,33,Jagiellonia Białystok,Cracovia Kraków,1:1
22/23,33,Korona Kielce,Lech Poznań,0:3
22/23,33,Lechia Gdańsk,Legia Warszawa,1:0
22/23,33,Radomiak Radom,Widzew Łódź,3:1
22/23,33,Śląsk Wrocław,Miedź Legnica,4:2
22/23,33,Warta Poznań,Piast Gliwice,1:1
22/23,33,Wisła Płock,Raków Częstochowa,1:2
22/23,33,Zagłębie Lubin,Stal Mielec,2:0
22/23,34,Cracovia Kraków,Wisła Płock,3:0
22/23,34,Lech Poznań,Jagiellonia Białystok,2:0
22/23,34,Legia Warszawa,Śląsk Wrocław,3:1
22/23,34,Miedź Legnica,Górnik Zabrze,0:0
22/23,34,Piast Gliwice,vo Lechia Gdańsk,3:0
22/23,34,Pogoń Szczecin,Radomiak Radom,4:0
22/23,34,Raków Częstochowa,Zagłębie Lubin,1:1
22/23,34,Stal Mielec,Warta Poznań,1:0
22/23,34,Widzew Łódź,Korona Kielce,0:3
